開放漢世詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［中文］	［拼音］	［世界語］
八月二十一號	ba1 yue4  er4 shi2 yi1  hao4	la dudek unua de aŭgusto
八月二十一日	ba1 yue4  er4 shi2 yi1  ri4	la dudek unua de aŭgusto
八月九號	ba1 yue4  jiu3  hao4	la naŭa de aŭgusto
八月九日	ba1 yue4  jiu3  ri4	la naŭa de aŭgusto
八月六號	ba1 yue4  liu4  hao4	la sesa de aŭgusto
八月六日	ba1 yue4  liu4  ri4	la sesa de aŭgusto
八月七號	ba1 yue4  qi1  hao4	la sepa de aŭgusto
八月七日	ba1 yue4  qi1  ri4	la sepa de aŭgusto
八月三號	ba1 yue4  san1  hao4	la tria de aŭgusto
八月三日	ba1 yue4  san1  ri4	la tria de aŭgusto
八月三十號	ba1 yue4  san1 shi2  hao4	la trideka de aŭgusto
八月三十日	ba1 yue4  san1 shi2  ri4	la trideka de aŭgusto
八月三十一號	ba1 yue4  san1 shi2 yi1  hao4	la tridek unua de aŭgusto
八月三十一日	ba1 yue4  san1 shi2 yi1  ri4	la tridek unua de aŭgusto
八月十號	ba1 yue4  shi2  hao4	la deka de aŭgusto
八月十日	ba1 yue4  shi2  ri4	la deka de aŭgusto
八月十八號	ba1 yue4  shi2 ba1  hao4	la dek oka de aŭgusto
八月十八日	ba1 yue4  shi2 ba1  ri4	la dek oka de aŭgusto
八月十二號	ba1 yue4  shi2 er4  hao4	la dek dua de aŭgusto
八月十二日	ba1 yue4  shi2 er4  ri4	la dek dua de aŭgusto
八月十九號	ba1 yue4  shi2 jiu3  hao4	la dek naŭa de aŭgusto
八月十九日	ba1 yue4  shi2 jiu3  ri4	la dek naŭa de aŭgusto
八月十六號	ba1 yue4  shi2 liu4  hao4	la dek sesa de aŭgusto
八月十六日	ba1 yue4  shi2 liu4  ri4	la dek sesa de aŭgusto
八月十七號	ba1 yue4  shi2 qi1  hao4	la dek sepa de aŭgusto
八月十七日	ba1 yue4  shi2 qi1  ri4	la dek sepa de aŭgusto
八月十三號	ba1 yue4  shi2 san1  hao4	la dek tria de aŭgusto
八月十三日	ba1 yue4  shi2 san1  ri4	la dek tria de aŭgusto
八月十四號	ba1 yue4  shi2 si4  hao4	la dek kvara de aŭgusto
八月十四日	ba1 yue4  shi2 si4  ri4	la dek kvara de aŭgusto
八月十五號	ba1 yue4  shi2 wu3  hao4	la dek kvina de aŭgusto
八月十五日	ba1 yue4  shi2 wu3  ri4	la dek kvina de aŭgusto
八月十一號	ba1 yue4  shi2 yi1  hao4	la dek unua de aŭgusto
八月十一日	ba1 yue4  shi2 yi1  ri4	la dek unua de aŭgusto
八月四號	ba1 yue4  si4  hao4	la kvara de aŭgusto
八月四日	ba1 yue4  si4  ri4	la kvara de aŭgusto
八月五號	ba1 yue4  wu3  hao4	la kvina de aŭgusto
八月五日	ba1 yue4  wu3  ri4	la kvina de aŭgusto
八月一號	ba1 yue4  yi1  hao4	la unua de aŭgusto
八月一日	ba1 yue4  yi1  ri4	la unua de aŭgusto
鈀	ba3	(kem) paladio; la elemento paladio (Pd), atomnumero 46
把手	ba3 shou3	tenilo
罷工	ba4 gong1	striko
霸權	ba4 quan2	hegemonio; superrego
白	bai2	blanka
白矮星	bai2 ai3 xing1	(ast) blanka nano
白鴿	bai2 ge1	kolombo (birdo)
白宮	bai2 gong1	la Blanka Domo; (en Vaŝingtono)
白海芋花	bai2 hai3 yu4	(pla-sci) kalao; kalafloro (latine, Zantedeschia aethiopica)
白海芋	bai2 hai3 yu4	(pla-sci) kalao; kalafloro (latine, Zantedeschia aethiopica)
白鶴	bai2 he4	cikonio (birdo)
白花三葉草	bai2 hua1  san1 ye4 cao3	(pla-sci) trifolio; trifolifloro (latine, Trifolium repens)
白樺	bai2 hua4	(pla-sci) betulo; betularbo (latine, Betula)
白樺樹	bai2 hua4 shu4	(pla-sci) betulo; betularbo (latine, Betula)
白蠟樹	bai2 la4 shu4	(pla-sci) frakseno; fraksenarbo (latine, Fraxinus)
白蘭地	bai2 lan2 di4	brando
白皮書	bai2 pi2 shu1	blanka libro
白日夢	bai2 ri4 meng4	revo
白色	bai2 se4	blanka
白血球	bai2 xue4 qiu2	(anat) blanka sangoĉelo
白楊	bai2 yang2	(pla-sci) poplo; poplarbo (latine, Populus)
白楊樹	bai2 yang2 shu4	(pla-sci) poplo; poplarbo (latine, Populus)
白蟻	bai2 yi3	termito (insekto)
百	bai3	cent (100)
柏	bai3	(pla-sci) cipreso; cipresarbo (latine, Cupressus)
百倍	bai3 bei4	centoble
百分之一	bai3 fen1 zhi1 yi1	centono
百合	bai3 he2	(pla-sci) lilio; lilifloro (latine, Lilium)
百合花	bai3 he2 hua1	(pla-sci) lilio; lilifloro (latine, Lilium)
百貨公司	bai3 huo4  gong1 si1	magazeno
百科	bai3 ke1	enciklopedio
柏樹	bai3 shu4	(pla-sci) cipreso; cipresarbo (latine, Cupressus)
百萬	bai3 wan4	miliono (1 000 000)
百億	bai3 yi4	dek miliardo (10 000 000 000)
拜拜	bai4 bai5	adiaŭ; ĝis
班	ban1	lernantaro
搬家	ban1 jia1	transloĝiĝi
斑鳩	ban1 jiu1	turto (birdo)
斑馬	ban1 ma3	zebro (mambesto)
版本	ban3 ben3	eldono; versio
板凳	ban3 deng4	benko
版權	ban3 quan2	kopirajto
板子	ban3 zi5	tabulo
瓣	ban4	(plantoj) petalo
半	ban4	duono
半導體	ban4 dao3 ti3	(fiz) duonkondukanto; semikonduktaĵo
半個小時	ban4 ge5  xiao3 shi2	duonhoro
半個鐘頭	ban4 ge5  zhong1 tou5	duonhoro
辦公室	ban4 gong1 shi4	oficejo
半球	ban4 qiu2	hemisfero
半人馬	ban4 ren2 ma3	Centaŭro (helena mitologio)
半衰期	ban4 shuai1 qi1	duonvivo
扮演	ban4 yan3	ludi (rolon)
半母音	ban4 yuan2 yin1	duonvokalo (lingvistiko)
幫倒忙	bang1 dao4 mang2	malhelpi
幫忙	bang1 mang2	helpi
幫手	bang1 shou3	helpanto
幫助	bang1 zhu4	helpo
膀	bang3	(anat) postbrako
蒡	bang4	(pla-sci) lapo; (latine, Arctium)
苞	bao1	(plantoj) burĝono
包括	bao1 gua1	inkluzive; inkluzive de
包裹	bao1 guo3	paketo
包括	bao1 kuo4	inkluzive; inkluzive de
薄	bao2	maldika
保持	bao3 chi2	resti
寶貴	bao3 gui4	valora; trezora
保護	bao3 hu4	protekti; ŝirmi
保加利亞語	bao3 jia1 li4 ya4 yu3	la bulgara; la bulgara lingvo
寶石	bao3 shi2	gemo
保守	bao3 shou3	konservema
保險	bao3 xian3	asekuro
保險箱	bao3 xian3 xiang1	monkesto
保證	bao3 zheng4	garantii
報	bao4	gazeto
報酬	bao4 chou2	rekompenco
報仇	bao4 chou2	venĝo
報春花	bao4 chun1 hua1	(pla-sci) primolo; primolfloro (latine, Primula vulgaris)
報導	bao4 dao3	raporti; informi
抱負	bao4 fu4	ambicio
報告	bao4 gao4	raporto
暴君	bao4 jun1	tirano
暴力	bao4 li4	perforta; perforto
抱歉	bao4 qian4	mi bedaŭras
抱歉	bao4 qian4	bedaŭra
抱怨	bao4 yuan4	plendi
爆炸	bao4 zha4	eksplodi
暴政	bao4 zheng4	tiraneco
報紙	bao4 zhi3	gazeto
杯	bei1	taso; glaso
悲劇	bei1 ju4	tragedio
杯子	bei1 zi5	taso; glaso
北大西洋公約組織	bei3 da4 xi1 yang2  gong1 yue1  zu3 zhi1	Nord-Atlantika Traktat-Organizaĵo; (NATO)
北方	bei3 fang1	nordo
悲觀	bei3 guan	pesimisma
北極熊	bei3 ji2 xiong2	polusa urso (mambesto)
北京	bei3 jing1	Pekino; ĉefurbo de Ĉinio
北京話	bei3 jing1 hua4	mandarena; "la pekina parolo"
北宋	bei3 song4	Norda Song-dinastio; 960-1127 KE
北約	bei3 yue1	(m-l) Nord-Atlantika Traktat-Organizaĵo; (NATO)
北約組織	bei3 yue1  zu3 zhi1	(m-l) Nord-Atlantika Traktat-Organizaĵo; (NATO)
鋇	bei4	(kem) bario; la elemento bario (Ba), atomnumero 56
倍	bei4	oblo
背	bei4	(anat) dorso
背包	bei4 bao1	tornistro
背部	bei4 bu4	(anat) dorso
被單	bei4 dan1	lita superkovrilo
被動	bei4 dong4	pasiva
被動分詞	bei4 dong4  fen1 ci2	pasiva participo (gramatiko)
被動語態	bei4 dong4  yu3 tai4	pasivo; pasiva voĉo (gramatiko)
被告	bei4 gao4	kulpigito; akuzito
被害人	bei4 hai4 ren2	suferanto; viktimo
背景	bei4 jing3	malantaŭplano; fono
背叛	bei4 pan4	perfidi
備忘錄	bei4 wang4 lu4	noto
被誤解	bei4 wu4 jie3	esti miskomprenata
背心	bei4 xin1	veŝto
被子	bei4 zi5	litkovrilo; stebkovraĵo
臂	bei5	(anat) brako
畚箕	ben3 ji1	polvoŝovelilo
本來	ben3 lai2	origine
本性	ben3 xing4	instinkto
笨拙	ben4 zhuo1	mallerta
繃帶	beng1 dai4	pretpansaĵo; pansaĵo; bandaĝo
崩潰	beng1 kui4	disfali
逼迫	bi1 po4	devigi
鼻	bi2	(anat) nazo
鼻竇	bi2 dou4	(anat) sinuso; naza sinuso
鼻孔	bi2 kong3	(anat) naztruo
鼻梁	bi2 liang2	(anat) nazradiko
鼻涕	bi2 ti4	(anat) nazmuko
鼻涕蟲	bi2 ti4 chong2	limako (insekto)
鼻子	bi2 zi5	(anat) nazo
比	bi3	ol
筆	bi3	plumo
筆記	bi3 ji4	noto
筆記本	bi3 ji4 ben3	notlibro
比較	bi3 jiao4	pli
比較級	bi3 jiao4 ji2	komparacia grado (gramatiko)
比較級	bi3 jiao4 ji2	komparativo (gramatiko)
比較級形容詞	bi3 jiao4 ji2  xing2 rong2 ci2	komparativa adjektivo (gramatiko)
比薩	bi3 sa4	pico
比薩餅	bi3 sa4 bing3	pico
比薩店	bi3 sa4 dian4	picejo
比賽	bi3 sai4	konkurso
比喻	bi3 yu4	metaforo
必	bi4	nepre
臂	bi4	(anat) brako
鉍	bi4	(kem) bismuto; la elemento bismuto (Bi), atomnumero 83
閉	bi4	fermi
壁虎	bi4 hu3	geko (reptilio)
壁爐	bi4 lu2	kameno
必須	bi4 xu1	devi
畢業	bi4 ye4	diplomiĝi
壁紙	bi4 zhi3	murpapero
蝙	bian1	vesperto (mambesto)
蝙蝠	bian1 fu2	vesperto (mambesto)
編輯	bian1 ji2	redaktisto; redaktoro
邊境	bian1 jing4	landlimo
鞭子	bian1 zi5	vipo
扁桃腺	bian3 tao2 xian4	(anat) tonsiloj
變	bian4	iĝi; ŝanĝiĝi
辮	bian4	(anat) harplektaĵoj
辨別	bian4 bie2	distingi
變成	bian4 cheng2	iĝi
辨護	bian4 hu4	pledi
辨護人	bian4 hu4 ren2	defendanto
變化	bian4 hua4	ŝanĝiĝo; ŝanĝo
辯論	bian4 lun4	debati
辨認	bian4 ren4	distingi; rekoni
變色龍	bian4 se4 long2	kameleono (reptilio)
變位詞	bian4 wei4 ci2	anagramo (gramatiko)
辮子	bian4 zi5	(anat) harplektaĵoj
標點	biao1 dian3	interpunkcii
標點符號	biao1 dian3  fu2 hao4	interpunkcia signo
標點法	biao1 dian3 fa3	interpunkcio
標簽	biao1 qian1	etikedo
標準	biao1 zhun3	norma
表達	biao3 da2	esprimi
錶面	biao3 mian4	supraĵo; surfaco
表情	biao3 qing2	mieno
表示	biao3 shi4	diri; deklari; signifi
別～	bie2	ne ~u
別的	bie2 de5	alia
別煩我	bie2 fan2 wo3	ne ĝenu min
別墅	bie2 shu4	dometo; kampodometo
別針	bie2 zhen1	pinglo
賓格	bin1 ge2	akuzativo; akuzativa kazo (gramatiko)
賓語	bin1 yu3	objekto (gramatiko)
檳	bing1	(pla-sci) areko; arekarbo (latine, Areca catechu)
冰	bing1	glacio
兵	bing1	soldato (ĉina ŝako)
兵	bing1	peono (ŝako)
冰島語	bing1 dao3 yu3	la islanda; la islanda lingvo
冰凍	bing1 dong4	frostigi
檳榔樹	bing1 lang2	(pla-sci) areko; arekarbo (latine, Areca catechu)
兵馬俑	bing1 ma3 yong3	Terakota Legio;  la Terakota Legio de Qin-dinastio
冰山	bing1 shan1	glacimonto
冰箱	bing1 xiang1	fridujo
病	bing4	malsano; malsana
病毒	bing4 du2	viruso
病人	bing4 ren2	malsanulo
玻	bo1	vitro
波茨坦會議	bo1 ci2 tan3  hui4 yi4	Potsdama Konferenco; (1945 KE)
波蘭語	bo1 lan2 yu3	la pola; la pola lingvo
波浪	bo1 lang4	ondo
玻璃	bo1 li2	vitro
玻璃杯	bo1 li2 bei1	glaso
波塞冬	Bo1 sai4 dong1	Pozidono (helena mitologio)
波斯文	bo1 si1 wen2	la persa; la persa lingvo
波斯語	bo1 si1 yu3	la persa; la persa lingvo
脖	bo2	(anat) kolo
鉑	bo2	(kem) plateno; la elemento plateno (Pt), atomnumero 78
博客	bo2 ke4	blogo; retotaglibro
博覽會	bo2 lan3 hui4	ekspozicio
博士	bo2 shi4	doktoro
博物館	bo2 wu4 guan3	muzeo
柏油	bo2 you2	asfalto
脖子	bo2 zi5	(anat) kolo
蘗	bo4	(pla-sci) filodendrono; (latine, Philodendron)
不道德	bu2  dao4 de2	ne morala; ne virta
不客氣	bu2  ke4 qi4	malĝentila
不正常	bu2  zheng4 chang2	nenormala
不錯	bu2 cuo4	ne malbona
不但	bu2 dan4	ne nur
不但…還…	bu2 dan4 hai2	ne nur... sed eĉ...
不定詞	bu2 ding4 ci2	nedifinita artikolo (gramatiko)
不定式	bu2 ding4 shi4	infinitivo (gramatiko)
不定式語氣	bu2 ding4 shi4  yu3 qi4	infinitiva modo (gramatiko)
不斷	bu2 duan4	senĉesa; senĉese
不對	bu2 dui4	malĝusta
不過	bu2 guo4	tamen
不見	bu2 jian4	malaperi
不見得	bu2 jian4 de2	ne nepre
不見了	bu2 jian4 le5	malaperis
不見了	bu2 jian4 le5	malaperi
不客氣	bu2 ke4 qi4	senĝena
不客氣	bu2 ke4 qi4	nedankinde; ne dankinde
不耐煩	bu2 nai4 fan2	malpacienca
不是	bu2 shi4	ne esti
不謝	bu2 xie4	nedankinde; ne dankinde
不要	bu2 yao4	ne ~u
不要	bu2 yao4	ne voli
不要緊	bu2 yao4 jin3	ne gravas; tio ne gravas
不用謝謝	bu2 yong4  xie4 xie4	nedankinde; ne dankinde
不用謝	bu2 yong4 xie4	nedankinde; ne dankinde
不再	bu2 zai4	jam ne; ne plu
不再…了	bu2 zai4 le5	jam ne...
哺乳動物	bu3 ru3  dong4 wu4	mambesto; mambesto
捕蠅草	bu3 ying2 cao3	(pla-sci) muŝkaptilo de Venuso; dioneo; (latine, Dionaea muscipula)
補語	bu3 yu3	komplemento (gramatiko)
補助金	bu3 zhu4 jin1	subvencio
不	bu4	ne
鈈	bu4	(kem) plutonio; la elemento plutonio (Pu), atomnumero 94
步	bu4	paŝo
鈽	bu4	(kem) plutonio; la elemento plutonio (Pu), atomnumero 94
不可能	bu4  ke3 neng2	neebla
不一樣	bu4  yi2 yang4	malsama
不應該	bu4  ying1 gai1	ne devus
步調	bu4 diao4	paŝo
不發音字母	bu4 fa1 yin1  zi4 mu3	neelparolata litero (gramatiko)
不方便	bu4 fang1 bian4	maloportuna
部分	bu4 fen4	parto
佈告欄	bu4 gao4 lan2	afiŝtabulo
不公平	bu4 gong1 ping2	maljusta
不管怎樣	bu4 guan3 zen3 yang4	malgraŭ tio
不好意思	bu4 hao3 yi4 si5	mi bedaŭras
不合法	bu4 he2 fa3	neleĝa
不及物動詞	bu4 ji2 wu4  dong4 ci2	netransitiva verbo (gramatiko)
不久	bu4 jiu3	baldaŭ
不可思議	bu4 ke3  si1 yi4	nekredebla
不了	bu4 le5	ne
部落	bu4 luo4	tribo
部落格	bu4 luo4 ge2	(tajvano) blogo; retotaglibro
不難	bu4 nan2	facila; ne malfacila; ne dificila
步槍	bu4 qiang1	fusilo
不然	bu4 ran2	alie
不如	bu4 ru2	ni ~u
不識字	bu4 shi2 zi4	analfabeta
不停	bu4 ting2	senĉese
不同	bu4 tong2	malsama; alia
不一定	bu4 yi2 ding4	ne nepre; eble
不只	bu4 zhi3	ne nur
不止	bu4 zhi3	ne nur
擦掉	ca1 diao4	forviŝi
猜想	cai1 xiang3	diveni
財產	cai2 chan3	posedaĵo; propraĵo
財富	cai2 fu4	riĉeco
才能	cai2 neng2	talento
裁判	cai2 pan4	arbitracianto
彩虹	cai3 hong2	ĉielarko
彩券	cai3 quan4	loterio
採用	cai3 yong4	uzi
菜單	cai4 dan1	manĝokarto; menuo
參加	can1 jia1	partopreni
餐廳	can1 ting1	restoracio
蠶豆	can2 dou4	fabo
殘廢	can2 fei4	kripla
慚愧	can2 kui4	honta
殘忍	can2 ren3	kruela
倉庫	cang1 ku4	provizejo; tenejo
蒼蠅	cang1 ying2	muŝo (insekto)
操作	cao1 zuo4	funkciigi
操作系統	cao1 zuo4  xi4 tong3	operaciumo
草	cao3	(pla-sci) herbo
草本	cao3 ben3	herbo
草稿	cao3 gao3	malneto
草坪	cao3 ping2	gazono
草原	cao3 yuan2	ebenaĵo
策略	ce4 lue4	strategio
廁所	ce4 suo3	necesejo
曾經	ceng2 jing1	iam
差別	cha1 bie2	malsamo; diferenco
插頭	cha1 tou5	ŝtopilo
插座	cha1 zuo4	ŝtopilingo
茶	cha2	teo
茶杯	cha2 bei1	tetaso
茶壺	cha2 hu2	tekruĉo; tepoto
茶花	cha2 hua1	(pla-sci) kamelio; kamelifloro (latine, Camellia)
查看	cha2 kan4	kontroli
茶樹	cha2 shu4	(pla-sci) tearbo; (latine, Camellia sinensis)
茶棗花	cha2 zao3 hua1	(pla-sci) eleagno; eleagnofloro (latine, Elaeagnus angustifolia)
差不多	cha4 bu4 duo1	pli malpli
差點	cha4 dian3	preskaŭ
蟾	chan2	bufo (amfibio)
蟾蜍	chan2 chu2	bufo (amfibio)
產道	chan3 dao4	(anat) naskokanalo
產品	chan3 pin3	produkto
產生	chan3 sheng1	produkti
鏟子	chan3 zi5	ŝovelilo
顫抖	chan4 dou3	tremi
懺悔	chan4 hui3	penti
長	chang2	longa
常	chang2	ĉiam
常	chang2	ofte
腸	chang2	(anat) intesto
嘗	chang2	gustumi
常常	chang2 chang2	ofte
長城	chang2 cheng2	la Granda Muro
長春	chang2 chun1	Ĉangĉuno; ĉefurbo de la ĉina provinco Ĝjilino
常春藤	chang2 chun1 teng2	(pla-sci) hedero; (latine, Hedera helix)
長笛	chang2 di2	fluto
長度	chang2 du4	longeco
長短	chang2 duan3	longeco; daŭro
長方形	chang2 fang1 xing2	rektangulo
償還	chang2 huan2	repagi
長江	Chang2 jiang1	la Jangzio-rivero
長頸鹿	chang2 jing3 lu4	ĝirafo (mambesto)
常綠	chang2 lv4	(plantoj) ĉiamverda
常綠樹	chang2 lv4 shu4	(plantoj) ĉiamverda arbo
長期	chang2 qi1	longtempa; longdaŭra
長槍	chang2 qiang1	lanco
常青	chang2 qing1	ĉiamverda
常綠森林	chang2 qing1  sen1 lin2	ĉiamverda arbaro
常青森林	chang2 qing1  sen1 lin2	ĉiamverda arbaro
常青樹	chang2 qing1 shu4	ĉiamverda arbo
長沙	chang2 sha1	Ĉangŝao; ĉefurbo de la ĉina provinco Hunano
長生不老	chang2 sheng1  bu4 lao3	senmorta
嘗試	chang2 shi4	provi; gustumi
長條	chang2 tiao2	strio
長途	chang2 tu2	longdistanca
長牙	chang2 ya2	dentego
場合	chang3 he2	situacio
場面	chang3 mian4	sceno
場所	chang3 suo3	loko
唱歌	chang4 ge1	kanti
唱片	chang4 pian4	albumo
唱詩班	chang4 shi1 ban1	ĥoro
暢銷書	chang4 xiao1 shu1	furorlibro
超導體	chao1 dao3 ti3	(fiz) superkondukanto
超過	chao1 guo4	superi
超級	chao1 ji2	supera
鈔票	chao1 piao4	monbileto
超人	chao1 ren2	superhomo
抄寫	chao1 xie3	kopii mane
超新星	chao1 xin1 xing1	(ast) supernovao
