開放世漢詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［世界語］	［中文］
antaŭurbo	郊區，郊外
antaŭvidi	預見，期待
anteno	天線
antikva	古老
antimatter	反物質
antimono	銻
antineŭtrono	反中子
antipartiklo	反粒子
antiprotono	反質子
antonimo	反義詞，反義字
aorto	大動脈，主動脈
aparataro	硬體
apartamento	公寓
aparteni al	屬於，屬
apenaŭ	幾乎不，差點沒有，勉強
apendico	闌尾
aperi	出現
apetito	胃口
aplaŭdi	拍手
apocino	毒狗草
Apolono	阿波羅
aprilo	四月
apro	野豬
apud	旁，旁邊
apuda	隔壁
Araba Ligo	阿拉伯聯盟，阿拉伯國家聯盟，阿盟
araba parolo	阿拉伯話
araba skribo	阿拉伯文
araneo	蜘，蛛，蜘蛛
aranĝi	安排
arbaro	森林
arbedo	矮樹
arbfolio	樹葉
arbitracianto	裁判
arbo	樹木
arboŝelo	樹皮
arbradiko	樹根
arbŝelo	樹皮
arbsuko	樹液
arbtrunko	樹幹
arekarbo	檳，檳榔樹
areko	檳，檳榔樹
Areso	戰神阿瑞斯，阿瑞斯
aresti	逮捕
arĝenta	銀
arĝentkolora	銀，銀色
arĝento	銀
argilo	黏土
argono	氬
aristokrataro	貴族政治
arkeologio	考古學
arkitekto	建築師
arma	武裝
arma konflikto	武裝衝突
armeo	陸軍
armilo	武器
aroma	香
aromo	香氣，口味
arseno	砷，砒
artaĵo	藝術品
artefarita satelito	衛星
Artemisa	阿爾忒彌斯
artemizio	艾草，艾
arterio	動脈
artiko	關節
artikolo	文，冠詞，文章
artisto	藝術家
arto	藝術
asekuro	保險
aserti	主張
asfalto	柏油
asfodelfloro	日光蘭，阿福花，日光蘭花
asfodelo	日光蘭，阿福花，日光蘭花
asklepiado	馬利筋
Asocio de Sudorient-Aziaj Nacioj	東南亞國家聯盟，東盟
aspekti	看起來
aspekti simile	看起來很像
aspekto	外表
astato	砹，砈
asterfloro	紫苑花，紫苑
astero	紫苑，紫苑花
asteroido	小行星
astro	星體，天體
astronaŭto	太空人
Atena	雅典娜
atendejo	等候室
atendi	等，等待
atenton	小心
atestanto	目擊者
atmosfera premo	氣壓
atoma nukleo	原子核
atomkerna centralo	核電廠，核能發電廠，核電站
atomkerna fisio	核分裂
atomkerno	原子核
atommaso	原子量
atomnumero	原子序數
atomo	原子
aŭ	或者，或
aŭdaci	膽敢
aŭdi	聽見，聽到
aŭgusto	八月
aŭriklo	心房
aŭskulti	聽
aŭskultilo	聽筒
aŭto	車子，車，車輛，汽車
aŭtobiografio	自傳
aŭtobus	公共汽車，巴，公車
aŭtobuso	公車
aŭtolitotrajno	臥車
aŭtolitvagonaro	臥車
aŭtomata	自動
aŭtomobilo	車子
aŭtonoma nerva sistemo	自主神經系統
aŭtonoma regiono	自治區
aŭtoro	作者
aŭtuno	秋，秋天
avantaĝo	好處
avara	吝嗇
avelarbo	榛，榛樹
aveno	燕麥
aventuristo	冒險家
aventuro	冒險
averaĝa	平均
averti	警告
averto	警告
avida	貪心
azalefloro	杜鵑花
azaleo	杜鵑花
azeno	驢子，驢
Azi-Pacifika Ekonomia Kunlaboro	亞太經合，亞洲太平洋經濟合作組織，亞太經合組織
babilejo	聊天室
babili	聊天，聊，談天兒，聊天兒，談天，談
bakforno	烤箱
bakisto	麵包師傅
Bakko	巴克斯
bakterio	細菌
balailo	掃把
baldaŭ	不久
baleno	鯨魚，鯨
balkono	陽臺
balo	舞會
balzama abiarbo	香脂冷杉
balzama abio	香脂冷杉
bambuo	竹，竹子
bananarbo	蕉，香蕉樹，芭蕉樹
banĉambro	浴室
bandaĝo	繃帶
bani sin	沐浴
banjano	榕，榕樹
bankalsono	泳褲
banko	銀行
bankuvo	浴缸
bano	沐浴
baobabarbo	猴麵包樹
baobabo	猴麵包樹
barakti	掙扎
barata parolo	印度話
barbo	胡，鬍子
barilo	柵欄
bario	鋇
basita sur	根據
bastono	拐杖
batalisto	戰士
batalvenki	戰勝
baza	基本
bazaro	市
bebo	小孩
bedaŭra	抱歉
bedaŭrinda	可惜，遺憾
bedaŭrinde	不幸地，遺憾地
begonifloro	秋海棠花，秋海棠
begonio	秋海棠花，秋海棠
bela	美，美麗
beladono	顛茄
beleta	漂亮
benko	板凳
berilio	鈹
berkelio	錇
bestaĉo	怪物
besto	動物
betularbo	樺樹，樺，白樺，白樺樹
betulo	白樺，白樺樹，樺，樺樹
bezoni	需要，要，需
bibliotekisto	圖書管理員
biblioteko	圖書館
bicepso	二頭肌
biciklo	單車，自行車，腳踏車
bieno	農場
biero	啤酒
bildero	像素
bildkarto	明信片
bildo	圖片
biliono	一萬億，兆，一兆，萬億
binara stelo	雙星
biokemia procezo	生化過程
biologia ĉelo	細胞
birdo	鳥
bismuto	鉍
blanka	白色，白
blanka libro	白皮書
blanka nano	白矮星
blanka sangoĉelo	白血球
blato	蟑螂，蟑
blogo	部落格，博客
bloketoj	積木
blua	藍色，藍
blua stelo	藍星
boaco	馴鹿
boato	船
bobelo	氣泡
bolpunkto	沸點
bombo	炸彈
bona	好
bongusta	好吃
bonŝanci	走運
bonŝanco	好運
bonvenigi	歡迎，迎接
bonvenigo	招呼，歡迎
bonvenon	歡迎！
bonvolu	請
borilo	鑽孔機
boro	硼
borso	股票市場，證券交易所
botelkukurbo	葫，葫蘆
botelo	瓶子
bovaĵo	牛肉
bovido	小牛
bovino	母牛
bovo	牛
brakhorloĝo	手錶
brako	胳臂，胳膊，臂，手臂，臂
brakringo	手鐲
brakseĝo	扶手椅
brakumi	擁抱
branĉo	樹枝，枝
brando	白蘭地
brazil-arbo	巴西紅木
bremsoj	剎車
bretaro	櫃櫥
briketoj	積木
brila	明亮
Brita Imperio	大英帝國
Brita Regnaro	英聯邦
bromo	溴
bronzo	青銅
brovo	眉，眉毛
brua	吵鬧
brulavertilo	火警
bruliga	滾燙
brulligno	薪柴
bruna	咖啡色
brusto	脯，胸脯，胸
bubalo	水牛
budhano	佛教徒
budhismo	佛教
Budho	佛，佛陀
bufo	蟾蜍，蜍，蟾
buĝeto	預算
burĝono	花蕾，蕾，苞，花苞
buŝkavo	口腔
buŝo	嘴，嘴巴，口
buŝtuko	餐巾
butero	奶油
butikaro	商場
butiko	店鋪
butikumi	買東西
butono	紐，紐扣，鈕，電鈕
ĉambro	房，房間
Ĉangĉuno	長春
Ĉangŝao	長沙
ĉapelo	冠，帽子
ĉapo	瓶蓋
ĉar	因為，既然
ĉasi	追趕
ĉe	在
cedrarbo	香柏，雪松樹，香柏樹，雪松
cedro	香柏，雪松，香柏樹，雪松樹
ĉefa	主要，主
ĉefministro	總理
ĉefo	老闆
ĉefpropozicio	主句
ĉefurbo	首都，京，都
ĉefverbo	主動詞
cejanfloro	矢車菊，矢車菊花
cejano	矢車菊花，矢車菊
ĉeko	支票
ĉela dividiĝo	細胞分裂
ĉela histo	細胞組織，蜂窩組織
ĉeldividiĝo	細胞分裂
ĉelkerno	細胞核
celo	目標
ĉelo	細胞
cemento	水泥
ĉemizo	襯衫
Ĉengduo	成都
ĉeno	鏈條，鏈子
cent	百，一百
cent mil	十萬
cent miliardo	千億，一千億
cent miliono	億，一億
centa	第一百
Centaŭro	人頭馬，半人馬
centoble	百倍，一百倍
centono	百分之一
centra	中
centra nerva sistemo	中樞神經系統
centro	中間，中心
cerba trunko	腦乾
cerbeto	小腦
cerbo	腦子，腦部
cerebelo	小腦
cerebro	大腦
ceremonio	儀式
cerio	鈰
ĉerizarbo	櫻，櫻桃樹
ĉerizfloro	櫻花
certa	確定
certe	一定，定
certigi	確定
cerumeno	耳垢
cervo	鹿
ĉesi	結束，停止
cetere	而且
ĉevalejo	馬廄，廄，馬棚，馬房
ĉevalido	小馬駒，小馬，駒，馬駒
ĉevalino	雌瑪，母馬
ĉevalo	馬，馬，馬
ĉevalpovo	馬力
cezio	銫
ĉi-tie	這邊，這裏，這兒，這邊兒
ĉi-tio	這個
ĉi-tio estas	這是
ĉi-tiu	這個，這種
ĉi-tiuj	這些
ĉia speco	哪種…都，每種
ĉiam	常，總是
ĉiamverda	常青，常綠
ĉiamverda arbaro	常青森林，常綠森林
ĉiamverda arbo	常綠樹，常青樹
Ĉiang Kai-ŝek	蔣介石
cico	乳頭
ĉie	到處
ĉielarko	彩虹
ĉielkorpo	天體
ĉielo	天，天空，天堂
cigaredo	煙，香煙
cigaro	雪茄
cigno	天鵝
cikatra histo	疤痕組織
cikatro	疤痕
Ciklopo	獨眼巨人
cikonio	白鶴
cikorio	菊苣
Ĉin-dinastio	秦朝
ĉina	華語，華，中，漢
ĉina hibiskfloro	朱槿，扶桑花
ĉina hibisko	朱槿，扶桑花
ĉina ŝako	象棋
ĉina signo	漢字，字
ĉina urbo Ŝanhajo	上海
cinamarbo	肉桂樹
cinamo	肉桂樹
cindro	灰
Ĉing-dinastio	清朝
Ĉinghajo	青海，青
ĉinia diantfloro	石竹，石竹花
ĉinia dianto	石竹，石竹花
Ĉinio	華，中，中國
ĉino	中國人
ĉio	一切
ĉioscia	無所不知
cipresarbo	柏樹，柏
cipreso	柏，柏樹
ĉirkaŭ	約，圍著，左右，圍繞著
ĉirkaŭi	圍繞著，圍著
ĉirkaŭiri	迴圈
cirko	馬戲團
cirkonstanco	情況
cirkonstancoj	狀況
citaĵo	引用文
citi	引用
citronarbo	檸檬樹
ĉiu	都，每，每個人，每個
ĉiufoje	每次
ĉiuj	每個人都，大家
ĉiumomente	隨時
civilizo	文明
Ĉongĉingo	重慶，渝
ĉu -os	會不會
ĉu bona?	好不好
ĉu eblas	能不能
ĉu estos	會不會
ĉu mi povas	能不能
ĉu mi rajtas	可不可以，我可不可以
ĉu povas	能不能
ĉu rajtas	可不可以
ĉu scipovas	會不會
ĉu vi povas	可不可以
ĉu vi scipovas	你會不會
ĉu vi scipovas ŝakludi?	你會不會下棋
ĉu...?	嗎？ 
daktilarbo	棗椰樹
daktilpalmo	棗椰樹
damo	后
danci	跳舞
danĝera	危險
danĝero	危險
danki	謝謝，謝
dankon	謝謝，謝了，謝
dateno	資訊
dativa kazo	與格
dativo	與格
datreveno	週年紀念日
datumo	資訊
daŭra	持久的
daŭri	繼續
daŭrigi	繼續
daŭrigota	待續
daŭro	長短
dazipedo	犰，犰狳，狳
dazipo	犰，犰狳，狳
de	從
de la komuna erao 	西元
debati	辯論
decembro	十二月
decidi	決定
decido	決定
Dedalo	代達羅斯
defendanto	辨護人
defii	挑戰
defio	挑戰
defluiga tubo	輸水管
dek	十
dek du	十二
dek kvar	十四
dek kvin	十五
dek kvin minutoj	十五分鐘
dek mil	一萬，萬
dek miliardo	一百億，百億
dek miliono	一千萬，千萬
dek minutoj	十分鐘
dek naŭ	十九
dek ok	十八
dek sep	十七
dek ses	十六
dek tri	十三
dek unu	十一
dek-dua	第十二
dek-kvara	第十四
dek-kvina	第十五
dek-naŭa	第十九
dek-oka	第十八
dek-sepa	第十七
dek-sesa	第十六
dek-tria	第十三
dek-unua	第十一
deka	第十
dekfoje	十次
deklari	表示
deklaro	聲明
deklinaciebla	可以變化詞尾，可以變格
deklinacio	格變化
dekoble	十倍
dekono	十分之一
Deksesa-Reĝlandoj	十六國
dekstre-maldekstre	左右
dekstro kaj maldekstro	左右
delfeno	海豚
deltoida muskolo	三角肌
deltoido	三角肌
demanda frazo	疑問句
demanda partikulo	疑問助詞
demandi	問，詢問，查詢
demando	問題
demandvorto	疑問詞
Demetera	得墨忒耳
demokratio	民主
demono	魔鬼
demonstrativo	指示代詞，指示詞
demonstri	示範
denove	再
densigi	濃縮
dentego	長牙，獠牙
dentisto	牙醫
dento	牙齒，牙，齒
dentobroso	牙刷
dentokarno	牙床，齒齦，齦，牙齦
dentokrono	齒冠
dentopasto	牙膏
dentopikilo	牙簽
dentoradiko	齒根
dentpikilo	牙簽
dentrado	齒輪
deoksiribonuklea acido	脫氧核糖核酸，去氧核糖核酸
dependi de	依靠
deprimita	沮喪
destino	命運，命
detala	詳細
detalo	細節
detektivo	偵探
detrui	毀滅
devena de	來自
deveni	來自，來源於，起源於
deveni de	來自，出生於
deveni el	來自
deveno	來源，起源
deverŝi	倒掉，濾掉
devi	必須，應該
devigi	逼迫
devizo	座右銘
devo	義務
devus	該，應，應該
dezerto	沙漠
deziregi	渴望
deziro	欲望，願望
diafragmo	橫隔膜
dialekto	方言
dialogo	會話
Diana	黛安娜
diantfloro	康乃馨，荷蘭石竹，荷蘭石竹花，康乃馨花
dianto	荷蘭石竹，康乃馨，荷蘭石竹花，康乃馨花
dieto	飲食
diferenco	差別
difinita artikolo	定詞
difino	定義
diftongo	複合母音，雙母音，復母音，雙母音
digesta sistemo	消化系統
digesti	消化
digesto	消化
digno	尊嚴
dika	厚，粗
dika intesto	大腸
dikega	肥胖
dikfingro	大拇指
diktatoro	獨裁
dimanĉo	星期日，星期天，日，禮拜天，禮拜日，周日
dinastio	朝代
Dinastio Ĉin	秦，秦朝
Dinastio Ĉing	清，清朝
Dinastio Ĝin	金，金朝
Dinastio Ĝoŭ	周，周朝
Dinastio Han	漢，漢朝
Dinastio Jŭan	元朝，元
Dinastio Ljaŭ	遼，遼
Dinastio Ming	明，明朝
Dinastio Ŝang	商，商朝
Dinastio Ŝja	夏，夏朝
Dinastio Song	宋朝，宋
Dinastio Suej	隋朝，隋
Dinastio Tang	唐朝，唐
dinosaŭro	恐龍
Dio	上帝
dioneo	捕蠅草
Dionizo	狄俄尼索斯
diplomiĝi	畢業
diplomo	文憑
direktanto	主任
direkti	指導
direktoro	主任
diri	告訴，表示，說
diserigebla	生物降解的，生物能分解的
diserigi	瓦解，分解
disfali	倒塌，崩潰
diskonto	折扣
diskuti	商量
disprozio	鏑
disputi	爭論，吵架
disrompi	打碎
distanco	距離
distingi	辨認，辨別
distrita	分心
disverŝi	溢出，流出
diveni	猜想
diversa	種種，綜合
diversaj	各種
dividi	分開
DNA	脫氧核糖核酸，去氧核糖核酸
do	所以，那麼
dogano	海關
doktoro	博士
dokumenta filmo	紀錄片
dokumento	文件
dolĉa	甜
dolĉa gusto	甜味
dolora	痛，疼
dolorigi	傷害
doloro	痛，痛苦，疼痛
domego	豪宅
dometo	別墅
domo	房子，房
donacema	慷慨
donaco	禮物
doni	給
doni al iu telefonvokon	給…打電話
dormĉambro	卧室
dormema	想睡
dormi	睡覺
dormo	睡眠
dorno	刺
dorso	背部，背
dosiero	檔案
dosierujo	文件夾
drako	龍
dramo	劇情片
dramserio	連續劇
drataro	配線，佈線，接線
drato	電線
dratprovizado	配線，佈線，接線
drattondilo	線材剪切機，線剪
drinkejo	酒吧
drinkemulo	酒鬼
drinki	喝酒
drinki alkoholon	喝酒
drinkulo	酒鬼
drogaĉoj	毒
drogemulo	毒蟲
drogoj	毒
drogvendisto	毒販，毒品販子
droni	溺水
du	二，兩
du mil	兩千
du miliardo	二十億
du miliono	兩百萬
du minutoj	兩分鐘
dua	第二
dua persono	第二人秤
dubi	懷疑
ducent	二百，兩百
ducent mil	二十萬
ducent miliono	兩億
dudek	廿，二十
dudek du	廿二，二十二
dudek kvar	廿四，二十四
dudek kvin	廿五，二十五
dudek kvin minutoj	二十五分鐘
dudek mil	兩萬
dudek miliono	兩千萬
dudek minutoj	二十分鐘
dudek naŭ	廿九，二十九
dudek ok	廿八，二十八
dudek sep	二十七，廿七
dudek ses	廿六，二十六
dudek tri	二十三，廿三
dudek unu	二十一，廿一
dudeka	第二十
dufoje	兩次
duiliono	萬億，一兆，兆，一萬億
dujara	二年生
dujara herbo	二年生草本
dukapa muskolo	二頭肌
dum	期間，時
dunaskitoj	雙胞胎
dunganto	僱主
dungi	雇用，雇，聘請
dungito	雇員，員工
duoble	兩倍
duodeno	十二指腸
duonhoro	半個鐘頭，半個小時
duonkondukanto	半導體
duono	一半，二分之一，半
duonvivo	半衰期
duonvokalo	半母音
duŝi sin	洗澡
ebena	平坦
ebenaĵo	平原，草原
eble	也不一定，不一定，可能，也許
ebleco	可能性
ebonarbo	烏木，黑檀木，黑檀樹，黑檀木樹，烏木樹
ebono	烏木樹，黑檀木樹，黑檀木，烏木，黑檀樹
ebria	喝醉了，醉了
ebrii	醉
ebriiĝi	喝醉
ebriulo	醉鬼
eburo	象牙
eĉ	連，尚且，尚，連…都
eĉ ne	都不
eĉ ne...	連…都不
eĉ pli	更
eĉ se	即使
eco	性質
Edipo	俄狄浦斯
eduko	教育
edzeco	婚姻
edziĝi	結婚
edziĝi kun...	跟…結婚
edziĝo	婚禮
edziniĝi	結婚
edziniĝo	婚禮
efektive	其實
efikeco	效率
efiko	作用，效果
egala	平等
ege	非常，要命
egoisma	自私
egoista	自大
eĥino	海膽
eĥo	回聲
ejnŝtejnio	鎄
ejo	地方
ekde	自從
ekinacfloro	紫錐花，錐光菊，紫錐菊，錐菊
ekinaco	錐菊，紫錐花，錐光菊，紫錐菊
ekipaĵo	設備
ekkuŝi	躺下
ekonomio	經濟，經
ekrano	螢幕，屏幕
ekscita	刺激
ekscitita	興奮
eksedziĝi	離婚
eksedziĝo	離婚
eksedziniĝi	離婚
ekskuzi sin	道歉
eksmoda	過時
eksperimento	試驗
eksperto	專家
ekspliki	解釋
eksplodi	爆炸
ekspozicio	博覽會，展覽會
ekstere	外面
eksterlanda	外國
eksterlandano	外國人
eksterna orela kanalo	外耳道
ekstra	額外
ekstrema	極端
ekstreme	非常
ekvilibro	平衡
ekvojaĝi	出發
ekzemple	譬如
ekzemplo	例子
ekzerckajero	練習簿
ekzisti	有，存在
el	出
eldonejo	出版社
eldoni	出版
eldono	版本
eleagno	茶棗花
eleagnofloro	茶棗花
elefanta dentego	象牙
elefanta ŝako	象棋
elefanto	大象，象，象
elekti	選擇
elekto	選擇
elektra	電
elektra butono	電鈕
elektra cirkvito	電子線路，電路
elektra izolilo	電絕緣體
elektra kampo	電場
elektra kurento	電流
elektra rezistanco	電阻
elektra ŝargo	電荷
elektra seĝo	電椅
elektra sonorilo	電鈴
elektra ventumilo	電扇
elektristo	電工
elektro	電，電力
elektromagneta kampo	電磁場
elektronika	電子
elektrono	電子
elementa lernejo	小學
elemento	元素
elfaro	成就
elirejo	出口
eliri	出去，出發，出
ellerni	掌握
ellitiĝi	起床
elmigri	移民
elparolado	發音
elparoli	發音
elparoligi	說出
elparolo	發音
elpenso	觀念
elporti	忍受
elsaluti	登出
elsendi	廣播
elspezi	花費，花
elspezo	收支
elspiri	吐氣
elŝuti	下載，下
eltrovi	發明
eltrovo	發明
eluzi	用盡，耗盡，用完
eluziĝi	磨損，耗損，消耗
eluzita	磨損了的，消耗了的
elveni	出來
elverŝi	倒出
emajlo	琺琅，琅，琺琅質，琺
embarasa	尷尬
embarasita	尷尬
embria histo	胚胎組織
embria trunka ĉelo	胚胎乾細胞
embrio	胚胎
emeritiĝi	退休
emfazi	強調
emi	趨向於
emo	趨勢，趨向
en	在，入
en ĉiu okazo	不管怎樣，無論如何
en la okazo se	萬一，如果是那樣的話
enciklopedio	百科
endokrina sistemo	內分泌系統
energio	能量
enhavebleco	容量
enhavo	內容
enirejo	入口
eniri	入
enkadrigi	框起來
enketo	調查
enklasigi	歸類
enlitiĝi	上床
enmigri	移民
enmiksiĝi en	干涉
enmiksiĝo	干擾
enoterfloro meza	待宵草，月見草
enotero meza	月見草，待宵草
enregistri	註冊
ensaluti	登入
enskribi	註冊
enŝlosi	上鎖
enspezo	收入
enspiri	吸入
entenaĵo	內容
entreprenisto	企業家
entuziasma	熱情
enveni	進來
enverŝi	倒進，倒入
enviciĝi	排隊
envii	羡慕
enzimo	酵素
epigloto	會厭軟骨，會咽，會咽軟骨，會厭
epoko	時代
erao	紀元
erari	犯錯
eraro	誤，錯，錯誤
erbio	鉺
erikfloro	石南花
eriko	石南花
erinaco	蝟，刺蝟
eritrocito	紅細胞，紅血球
ero	屑，粒，小組件
escepto	例外
eskalatoro	自動扶梯
eskapi	逃脫
Esperanto	世界語
esperi	希望
esprimi	表達
esprimo	術語，說法
esti	有
esti hejme	在家
esti miskomprenata	被誤解
esti nur	只是
estontaj generacioj	後代
estonteco	未來
estonto	未來
estro	領袖
etendi	膨脹
eterne	永遠
etfingro	小指
etikedo	標簽
eŭkaliptarbo	桉樹，桉
eŭkalipto	桉樹，桉
eŭkarioto	真核生物
eŭro	歐元
Eŭropa Liberala Demokrata Partio	歐洲自由民主與改革黨
Eŭropa Parlamento	歐洲議會
Eŭropa Popolpartio	歐洲人民黨
Eŭropa Unio	歐洲聯盟，歐盟
Eŭropaj Demokratoj	歐洲民主黨
eŭropio	銪
evidenta	明顯
eviti	逃避
evolui	發展
evoluigi	發展
evoluigita	發達
evoluo	進化
ezofago	食道
fabelo	童話故事，童話
fabo	蠶豆
fabrikejo	工廠
facila	易，不難，容易
facile	輕易
facilrompa	脆弱
fagarbo	山毛櫸，山毛櫸樹
fago	山毛櫸，山毛櫸樹
fajlilo	銼刀
fajraĵo	煙火
fajrejo	灶臺，爐邊
fajrero	火花，火星
fajrilo	打火機
fajro	火
fajropoto	火鍋
Fajrostelo	火星
fako	科目
fakte	其實
fakto	事實
fakulo	專家
falango	指骨
faldi	摺疊
falfolia	落葉
falfolia arbo	落葉樹
fali	落，掉了
fali suben	落下來
falko	鷹，隼，鵰
falŝa akaciarbo	洋槐樹，刺槐，刺槐樹
falŝa akacio	刺槐樹，洋槐樹，刺槐
fama	著名，有名，聞名
familia nomo	姓，姓氏，氏
familio	家人
famo	名
fantomo	鬼魂，鬼
farbo	顏料，染料
fari	製造，做
faringo	咽喉，咽
farmacio	藥房
farmisto	農人
farmo	農場
fazo de materio	物態，相，相態
febra	發燒的
febri	發高燒，發燒
febro	高燒
februaro	二月
fekaĵo	糞便，大便
fekaĵputo	糞坑，化糞池
feki	拉屎，大便
feko	糞便，大便
fekunda	肥沃
feliĉa	快樂，幸福
feliĉeco	幸福
feliĉo	幸福
femura arterio	股動脈
femuro	大腿
femurosto	大腿骨
fendaĵo	裂縫，裂口
fendi	分開，裂開
fendiĝi	分裂，迸裂
fenestro	視窗
fenestrokadro	窗框
fenikoptero	紅鶴
feniksino	凰
fenikso	鳳，鳳凰
fenomeno	現象
fera	鐵的，鐵制的
ferdeko	甲板
ferdrato	鐵線
ferio	假日
fermentinta toŭfuo	豆乳
fermi	關閉，閉，關
fermi la pordon	關門
fermio	鐨
fero	鐵
ferumi	釘蹄鐵
fervojo	鐵路
festeno	宴，宴會
festi	慶祝，過節
festo	節日，慶祝活動
feto	胎，胎兒
fi	可恥
fia	賤，下流，可恥的
fibro	纖維
fidi je	信任
fido	信仰，信賴
fiera	驕傲
fifama	臭名昭著，臭名遠揚，惡名昭彰
